,County Name/State Abbreviation,FIPS_y,TargetValue
0,"Abbeville, SC",45001,0.0
1,"Accomack, VA",51001,11.0
2,"Ada, ID",16001,23.0
3,"Adair, IA",19001,0.0
4,"Adair, KY",21001,18.0
5,"Adair, MO",29001,0.0
6,"Adair, OK",40001,3.0
7,"Adams, CO",08001,112.0
8,"Adams, IA",19003,0.0
9,"Adams, ID",16003,0.0
10,"Adams, IL",17001,1.0
11,"Adams, IN",18001,1.0
12,"Adams, MS",28001,15.0
13,"Adams, ND",38001,0.0
14,"Adams, NE",31001,11.0
15,"Adams, OH",39001,1.0
16,"Adams, PA",42001,7.0
17,"Adams, WA",53001,0.0
18,"Adams, WI",55001,1.0
19,"Addison, VT",50001,2.0
20,"Aiken, SC",45003,7.0
21,"Aitkin, MN",27001,0.0
22,"Alachua, FL",12001,7.0
23,"Alamance, NC",37001,20.0
24,"Alameda, CA",06001,93.0
25,"Alamosa, CO",08003,2.0
26,"Albany, NY",36001,76.0
27,"Albany, WY",56001,0.0
28,"Albemarle, VA",51003,8.0
29,"Alcona, MI",26001,1.0
30,"Alcorn, MS",28003,1.0
31,"Alexander, IL",17003,0.0
32,"Alexander, NC",37003,0.0
33,"Alfalfa, OK",40003,0.0
34,"Alger, MI",26003,0.0
35,"Allamakee, IA",19005,4.0
36,"Allegan, MI",26005,7.0
37,"Allegany, MD",24001,14.0
38,"Allegany, NY",36003,0.0
39,"Alleghany, NC",37005,0.0
40,"Alleghany, VA",51005,2.0
41,"Allegheny, PA",42003,160.0
42,"Allen, IN",18003,66.0
43,"Allen, KS",20001,0.0
44,"Allen, KY",21003,2.0
45,"Allen, OH",39003,31.0
46,"Allendale, SC",45005,3.0
47,"Alpena, MI",26007,9.0
48,"Alpine, CA",06003,0.0
49,"Amador, CA",06005,0.0
50,"Amelia, VA",51007,1.0
51,"Amherst, VA",51009,0.0
52,"Amite, MS",28005,1.0
53,"Anderson, KS",20003,0.0
54,"Anderson, KY",21005,1.0
55,"Anderson, SC",45007,8.0
56,"Anderson, TN",47001,1.0
57,"Anderson, TX",48001,0.0
58,"Andrew, MO",29003,0.0
59,"Andrews, TX",48003,0.0
60,"Androscoggin, ME",23001,2.0
61,"Angelina, TX",48005,2.0
62,"Anne Arundel, MD",24003,157.0
63,"Anoka, MN",27003,56.0
64,"Anson, NC",37007,0.0
65,"Antelope, NE",31003,0.0
66,"Antrim, MI",26009,0.0
67,"Apache, AZ",04001,26.0
68,"Appanoose, IA",19007,3.0
69,"Appling, GA",13001,13.0
70,"Appomattox, VA",51011,0.0
71,"Aransas, TX",48007,0.0
72,"Arapahoe, CO",08005,280.0
73,"Archer, TX",48009,0.0
74,"Archuleta, CO",08007,0.0
75,"Arenac, MI",26011,1.0
76,"Arkansas, AR",05001,0.0
77,"Arlington, VA",51013,101.0
78,"Armstrong, PA",42005,3.0
79,"Armstrong, TX",48011,0.0
80,"Aroostook, ME",23003,1.0
81,"Arthur, NE",31005,0.0
82,"Ashe, NC",37009,0.0
83,"Ashland, OH",39005,0.0
84,"Ashland, WI",55003,0.0
85,"Ashley, AR",05003,0.0
86,"Ashtabula, OH",39007,32.0
87,"Asotin, WA",53003,2.0
88,"Atascosa, TX",48013,2.0
89,"Atchison, KS",20005,0.0
90,"Atchison, MO",29005,0.0
91,"Athens, OH",39009,1.0
92,"Atkinson, GA",13003,2.0
93,"Atlantic, NJ",34001,144.0
94,"Atoka, OK",40005,0.0
95,"Attala, MS",28007,14.0
96,"Audrain, MO",29007,0.0
97,"Audubon, IA",19009,1.0
98,"Auglaize, OH",39011,3.0
99,"Augusta, VA",51015,1.0
100,"Aurora, SD",46003,0.0
101,"Austin, TX",48015,0.0
102,"Autauga, AL",01001,3.0
103,"Avery, NC",37011,0.0
104,"Baca, CO",08009,0.0
105,"Bacon, GA",13005,2.0
106,"Bailey, TX",48017,0.0
107,"Baker, FL",12003,3.0
108,"Baker, GA",13007,2.0
109,"Baker, OR",41001,0.0
110,"Baldwin, AL",01003,9.0
111,"Baldwin, GA",13009,25.0
112,"Ballard, KY",21007,0.0
113,"Baltimore, MD",24005,307.0
114,"Bamberg, SC",45009,0.0
115,"Bandera, TX",48019,0.0
116,"Banks, GA",13011,0.0
117,"Banner, NE",31007,0.0
118,"Bannock, ID",16005,0.0
119,"Baraga, MI",26013,0.0
120,"Barber, KS",20007,0.0
121,"Barbour, AL",01005,1.0
122,"Barbour, WV",54001,1.0
123,"Barnes, ND",38003,0.0
124,"Barnstable, MA",25001,110.0
125,"Barnwell, SC",45011,1.0
126,"Barren, KY",21009,1.0
127,"Barron, WI",55005,0.0
128,"Barrow, GA",13013,11.0
129,"Barry, MI",26015,2.0
130,"Barry, MO",29009,0.0
131,"Bartholomew, IN",18005,33.0
132,"Barton, KS",20009,1.0
133,"Barton, MO",29011,0.0
134,"Bartow, GA",13015,36.0
135,"Bastrop, TX",48021,2.0
136,"Bates, MO",29013,1.0
137,"Bath, KY",21011,1.0
138,"Bath, VA",51017,0.0
139,"Baxter, AR",05005,0.0
140,"Bay, FL",12005,3.0
141,"Bay, MI",26017,19.0
142,"Bayfield, WI",55007,1.0
143,"Baylor, TX",48023,0.0
144,"Beadle, SD",46005,2.0
145,"Bear Lake, ID",16007,0.0
146,"Beaufort, NC",37013,0.0
147,"Beaufort, SC",45013,12.0
148,"Beaver, OK",40007,0.0
149,"Beaver, PA",42007,72.0
150,"Beaver, UT",49001,0.0
151,"Beaverhead, MT",30001,0.0
152,"Becker, MN",27005,0.0
153,"Beckham, OK",40009,0.0
154,"Bedford, PA",42009,2.0
155,"Bedford, TN",47003,4.0
156,"Bedford, VA",51019,2.0
157,"Bee, TX",48025,0.0
158,"Belknap, NH",33001,0.0
159,"Bell, KY",21013,0.0
160,"Bell, TX",48027,3.0
161,"Belmont, OH",39013,12.0
162,"Beltrami, MN",27007,0.0
163,"Ben Hill, GA",13017,1.0
164,"Benewah, ID",16009,0.0
165,"Bennett, SD",46007,0.0
166,"Bennington, VT",50003,1.0
167,"Benson, ND",38005,0.0
168,"Bent, CO",08011,0.0
169,"Benton, AR",05007,0.0
170,"Benton, IA",19011,1.0
171,"Benton, IN",18007,0.0
172,"Benton, MN",27009,2.0
